"","state_po","county_name","county_fips","DEMOCRAT","REPUBLICAN","county","state","lon","lat","rMapState","rMapCounty","win"
"1","AL","AUTAUGA",1001,7503,19838,"Autauga County","AL",-86.64564861,32.54009148,"alabama","autauga","Donald Trump"
"2","AL","BALDWIN",1003,24578,83544,"Baldwin County","AL",-87.72627168,30.73831437,"alabama","baldwin","Donald Trump"
"3","AL","BARBOUR",1005,4816,5622,"Barbour County","AL",-85.39732718,31.87402989,"alabama","barbour","Donald Trump"
"4","AL","BIBB",1007,1986,7525,"Bibb County","AL",-87.12526047,32.99902355,"alabama","bibb","Donald Trump"
"5","AL","BLOUNT",1009,2640,24711,"Blount County","AL",-86.5627114,33.99044001,"alabama","blount","Donald Trump"
"6","AL","BULLOCK",1011,3446,1146,"Bullock County","AL",-85.71680363,32.10633554,"alabama","bullock","Joseph Biden"
"7","AL","BUTLER",1013,3965,5458,"Butler County","AL",-86.68434696,31.75713941,"alabama","butler","Donald Trump"
"8","AL","CALHOUN",1015,15216,35101,"Calhoun County","AL",-85.82956111,33.77624501,"alabama","calhoun","Donald Trump"
"9","AL","CHAMBERS",1017,6365,8753,"Chambers County","AL",-85.3948531,32.91633065,"alabama","chambers","Donald Trump"
"10","AL","CHEROKEE",1019,1624,10583,"Cherokee County","AL",-85.60421986,34.19147067,"alabama","cherokee","Donald Trump"
"11","AL","CHILTON",1021,3073,16085,"Chilton County","AL",-86.71562395,32.8516297,"alabama","chilton","Donald Trump"
"12","AL","CHOCTAW",1023,3127,4296,"Choctaw County","AL",-88.25953692,32.02046848,"alabama","choctaw","Donald Trump"
"13","AL","CLARKE",1025,5755,7324,"Clarke County","AL",-87.82482965,31.673326,"alabama","clarke","Donald Trump"
"14","AL","CLAY",1027,1267,5601,"Clay County","AL",-85.85178714,33.27340969,"alabama","clay","Donald Trump"
"15","AL","CLEBURNE",1029,675,6484,"Cleburne County","AL",-85.52610168,33.67621939,"alabama","cleburne","Donald Trump"
"16","AL","COFFEE",1031,5076,16899,"Coffee County","AL",-85.99444058,31.39847656,"alabama","coffee","Donald Trump"
"17","AL","COLBERT",1033,8343,19203,"Colbert County","AL",-87.81097599,34.70276047,"alabama","colbert","Donald Trump"
"18","AL","CONECUH",1035,2966,3442,"Conecuh County","AL",-86.99065443,31.43577781,"alabama","conecuh","Donald Trump"
"19","AL","COOSA",1037,1796,3631,"Coosa County","AL",-86.24544124,32.94021362,"alabama","coosa","Donald Trump"
"20","AL","COVINGTON",1039,2721,14586,"Covington County","AL",-86.45655104,31.25973186,"alabama","covington","Donald Trump"
"21","AL","CRENSHAW",1041,1700,4864,"Crenshaw County","AL",-86.31956157,31.73590915,"alabama","crenshaw","Donald Trump"
"22","AL","CULLMAN",1043,4478,36880,"Cullman County","AL",-86.8654481,34.1382457,"alabama","cullman","Donald Trump"
"23","AL","DALE",1045,5170,14303,"Dale County","AL",-85.61909408,31.43086648,"alabama","dale","Donald Trump"
"24","AL","DALLAS",1047,12230,5524,"Dallas County","AL",-87.09767509,32.3267024,"alabama","dallas","Joseph Biden"
"25","AL","DEKALB",1049,4281,24767,"DeKalb County","AL",-85.81226395,34.45439485,"alabama","de kalb","Donald Trump"
"26","AL","ELMORE",1051,10367,30164,"Elmore County","AL",-86.15419329,32.59892985,"alabama","elmore","Donald Trump"
