"","...1","geo","Year","Income","LifeExp","Population","region"
"1",1,"Afghanistan",1800,603,28.2,3280000,"Asia"
"2",2,"Albania",1800,667,35.4,410000,"Europe"
"3",3,"Algeria",1800,715,28.8,2500000,"Africa"
"4",4,"Andorra",1800,1200,NA,2650,"Europe"
"5",5,"Angola",1800,618,27,1570000,"Africa"
"6",6,"Antigua and Barbuda",1800,757,33.5,37000,"Americas"
"7",7,"Argentina",1800,1510,33.2,534000,"Americas"
"8",8,"Armenia",1800,514,34,413000,"Asia"
"9",9,"Australia",1800,814,34,351000,"Oceania"
"10",10,"Austria",1800,1850,34.4,3210000,"Europe"
"11",11,"Azerbaijan",1800,775,29.2,880000,"Asia"
"12",12,"Bahamas",1800,1450,35.2,27400,"Americas"
"13",13,"Bahrain",1800,1240,30.3,64500,"Asia"
"14",14,"Bangladesh",1800,876,25.5,19200000,"Asia"
"15",15,"Barbados",1800,913,32.1,81700,"Americas"
"16",16,"Belarus",1800,608,36.2,2360000,"Europe"
"17",17,"Belgium",1800,2410,40,3140000,"Europe"
"18",18,"Belize",1800,579,26.5,25500,"Americas"
"19",19,"Benin",1800,597,31,637000,"Africa"
"20",20,"Bhutan",1800,629,28.8,90000,"Asia"
"21",21,"Bolivia",1800,854,33,1100000,"Americas"
"22",22,"Bosnia and Herzegovina",1800,669,35.1,852000,"Europe"
"23",23,"Botswana",1800,397,33.6,121000,"Africa"
"24",24,"Brazil",1800,1110,32,3640000,"Americas"
"25",25,"Brunei",1800,1510,29.2,2130,"Asia"
"26",26,"Bulgaria",1800,1090,35.8,1990000,"Europe"
"27",27,"Burkina Faso",1800,480,29.2,1670000,"Africa"
"28",28,"Burundi",1800,418,31.5,899000,"Africa"
"29",29,"Cambodia",1800,903,35,2090000,"Asia"
"30",30,"Cameroon",1800,626,28.8,1860000,"Africa"
"31",31,"Canada",1800,1310,39,646000,"Americas"
"32",32,"Cape Verde",1800,529,33.8,55700,"Africa"
"33",33,"Central African Republic",1800,424,30,479000,"Africa"
"34",34,"Chad",1800,418,30.9,1430000,"Africa"
"35",35,"Chile",1800,1030,32,771000,"Americas"
"36",36,"China",1800,984,32,3.22e+08,"Asia"
"37",37,"Colombia",1800,962,32,1210000,"Americas"
"38",38,"Comoros",1800,696,32.1,56300,"Africa"
"39",39,"Congo, Dem. Rep.",1800,485,31.6,5160000,"Africa"
"40",40,"Congo, Rep.",1800,575,32.7,314000,"Africa"
"41",41,"Costa Rica",1800,775,30.2,52000,"Americas"
"42",42,"Cote d'Ivoire",1800,812,31.2,1090000,"Africa"
"43",43,"Croatia",1800,1080,36.1,1230000,"Europe"
"44",44,"Cuba",1800,864,32.2,345000,"Americas"
"45",45,"Cyprus",1800,853,38.5,184000,"Asia"
"46",46,"Czech Republic",1800,1920,35,5520000,"Europe"
"47",47,"Denmark",1800,2010,37.4,1060000,"Europe"
"48",48,"Djibouti",1800,752,29.9,22800,"Africa"
"49",49,"Dominica",1800,663,NA,20000,"Americas"
"50",50,"Dominican Republic",1800,667,29.9,89000,"Americas"
"51",51,"Ecuador",1800,529,32.9,5e+05,"Americas"
"52",52,"Egypt",1800,790,33,4240000,"Africa"
"53",53,"El Salvador",1800,974,28.7,248000,"Americas"
"54",54,"Equatorial Guinea",1800,356,29.8,80400,"Africa"
"55",55,"Eritrea",1800,532,30.2,205000,"Africa"
"56",56,"Estonia",1800,938,36.1,334000,"Europe"
"57",57,"Ethiopia",1800,523,29.7,2950000,"Africa"
"58",58,"Fiji",1800,785,26.1,131000,"Oceania"
"59",59,"Finland",1800,1240,36.6,978000,"Europe"
"60",60,"France",1800,1800,34,29400000,"Europe"
"61",61,"Gabon",1800,390,30.6,158000,"Africa"
"62",62,"Gambia",1800,813,28.8,103000,"Africa"
"63",63,"Georgia",1800,543,31.9,1070000,"Asia"
"64",64,"Germany",1800,1640,38.4,22900000,"Europe"
"65",65,"Ghana",1800,696,28,2020000,"Africa"
"66",66,"Greece",1800,1370,36.6,2150000,"Europe"
"67",67,"Grenada",1800,959,31.4,29400,"Americas"
"68",68,"Guatemala",1800,857,25.8,459000,"Americas"
"69",69,"Guinea",1800,450,29.5,984000,"Africa"
"70",70,"Guinea-Bissau",1800,777,32,218000,"Africa"
"71",71,"Guyana",1800,1210,31.1,166000,"Americas"
"72",72,"Haiti",1800,633,29,723000,"Americas"
"73",73,"Honduras",1800,675,33.9,126000,"Americas"
"74",74,"Hungary",1800,1250,36,3500000,"Europe"
"75",75,"Iceland",1800,926,42.9,61400,"Europe"
"76",76,"India",1800,1050,25.4,1.69e+08,"Asia"
"77",77,"Indonesia",1800,994,30,16100000,"Asia"
"78",78,"Iran",1800,976,25.6,6270000,"Asia"
"79",79,"Iraq",1800,969,31.2,1080000,"Asia"
"80",80,"Ireland",1800,1450,38.3,4060000,"Europe"
"81",81,"Israel",1800,879,32,210000,"Asia"
"82",82,"Italy",1800,2220,29.7,18800000,"Europe"
"83",83,"Jamaica",1800,1170,34.2,401000,"Americas"
"84",84,"Japan",1800,1050,36.4,30300000,"Asia"
"85",85,"Jordan",1800,976,31.7,217000,"Asia"
"86",86,"Kazakhstan",1800,1140,26.2,2040000,"Asia"
